,date,state,positive,totalTestResults,death,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,Dose1_Total,Dose1_Total_pct,Dose1_65Plus,Dose1_65Plus_pct,Complete_Total,Complete_Total_pct,Complete_65Plus,Complete_65Plus_pct
17466,2020-01-13,Washington,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17467,2020-01-14,Washington,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17468,2020-01-15,Washington,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17469,2020-01-16,Washington,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17470,2020-01-17,Washington,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17471,2020-01-18,Washington,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17472,2020-01-19,Washington,1.0,0.0,0.0,1,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17473,2020-01-20,Washington,1.0,0.0,0.0,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17474,2020-01-21,Washington,2.0,0.0,0.0,1,0,2,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17475,2020-01-22,Washington,2.0,0.0,0.0,0,0,2,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7768,2020-01-22,Massachusetts,0.0,1.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17476,2020-01-23,Washington,2.0,0.0,0.0,0,0,2,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7769,2020-01-23,Massachusetts,0.0,2.0,0.0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7770,2020-01-24,Massachusetts,0.0,2.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17477,2020-01-24,Washington,2.0,0.0,0.0,0,0,2,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17478,2020-01-25,Washington,2.0,0.0,0.0,0,0,2,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7771,2020-01-25,Massachusetts,0.0,2.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17479,2020-01-26,Washington,2.0,0.0,0.0,0,0,2,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7772,2020-01-26,Massachusetts,0.0,2.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17480,2020-01-27,Washington,2.0,0.0,0.0,0,0,2,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17060,2020-01-27,Virginia,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7773,2020-01-27,Massachusetts,0.0,3.0,0.0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17061,2020-01-28,Virginia,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7774,2020-01-28,Massachusetts,0.0,3.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17481,2020-01-28,Washington,2.0,0.0,0.0,0,0,2,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17482,2020-01-29,Washington,2.0,0.0,0.0,0,0,2,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3315,2020-01-29,Florida,0.0,1.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7775,2020-01-29,Massachusetts,0.0,4.0,0.0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17062,2020-01-29,Virginia,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7776,2020-01-30,Massachusetts,0.0,4.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17063,2020-01-30,Virginia,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3316,2020-01-30,Florida,0.0,1.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17483,2020-01-30,Washington,2.0,0.0,0.0,0,0,2,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17484,2020-01-31,Washington,2.0,0.0,0.0,0,0,2,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7777,2020-01-31,Massachusetts,0.0,4.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3317,2020-01-31,Florida,0.0,4.0,0.0,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17064,2020-01-31,Virginia,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17065,2020-02-01,Virginia,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3318,2020-02-01,Florida,0.0,4.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7778,2020-02-01,Massachusetts,0.0,4.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17485,2020-02-01,Washington,2.0,0.0,0.0,0,0,2,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7779,2020-02-02,Massachusetts,0.0,4.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17066,2020-02-02,Virginia,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3319,2020-02-02,Florida,0.0,4.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17486,2020-02-02,Washington,2.0,0.0,0.0,0,0,2,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17067,2020-02-03,Virginia,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3320,2020-02-03,Florida,0.0,4.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7780,2020-02-03,Massachusetts,0.0,7.0,0.0,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17487,2020-02-03,Washington,3.0,0.0,0.0,1,0,3,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17068,2020-02-04,Virginia,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17488,2020-02-04,Washington,3.0,0.0,0.0,0,0,3,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7781,2020-02-04,Massachusetts,0.0,9.0,0.0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3321,2020-02-04,Florida,0.0,6.0,0.0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3322,2020-02-05,Florida,0.0,6.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17489,2020-02-05,Washington,3.0,0.0,0.0,0,0,3,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7782,2020-02-05,Massachusetts,0.0,9.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17069,2020-02-05,Virginia,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3323,2020-02-06,Florida,0.0,6.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17490,2020-02-06,Washington,5.0,0.0,0.0,2,0,5,0,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17070,2020-02-06,Virginia,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7783,2020-02-06,Massachusetts,0.0,10.0,0.0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
