date,state,positive,totalTestResults,death,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,Dose1_Total,Dose1_Total_pct,Dose1_65Plus,Dose1_65Plus_pct,Complete_Total,Complete_Total_pct,Complete_65Plus,Complete_65Plus_pct,Low_SVI_CTGY,Moderate_Low_SVI_CTGY,Moderate_High_SVI_CTGY,High_SVI_CTGY,Metro,Non-metro,Census2019,Census2019_65Plus,neighbor_contagions
2020-03-07,Alabama,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,4
2020-03-08,Alabama,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,7
2020-03-09,Alabama,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,6
2020-03-10,Alabama,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,14
2020-03-11,Alabama,0.0,10.0,0.0,0,10,10,10,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,7
2020-03-12,Alabama,0.0,10.0,0.0,0,0,10,0,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,27
2020-03-13,Alabama,1.0,12.0,0.0,1,1,12,2,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,27
2020-03-14,Alabama,6.0,28.0,0.0,5,11,74,16,28,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,52
2020-03-15,Alabama,12.0,40.0,0.0,6,6,86,12,40,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,84
2020-03-16,Alabama,28.0,56.0,0.0,16,0,96,16,56,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,68
2020-03-17,Alabama,36.0,64.0,0.0,8,0,64,8,64,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,82
2020-03-18,Alabama,46.0,74.0,0.0,10,0,74,10,74,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,151
2020-03-19,Alabama,68.0,96.0,0.0,22,0,96,22,96,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,261
2020-03-20,Alabama,81.0,109.0,0.0,13,0,109,13,109,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,313
2020-03-21,Alabama,124.0,152.0,0.0,43,0,152,43,152,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,432
2020-03-22,Alabama,138.0,1602.0,0.0,14,1436,1602,1450,1602,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,497
2020-03-23,Alabama,167.0,1832.0,0.0,29,201,1832,230,1832,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,622
2020-03-24,Alabama,215.0,2321.0,0.0,48,441,2321,489,2321,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,553
2020-03-25,Alabama,283.0,2812.0,0.0,68,423,2812,491,2812,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,678
2020-03-26,Alabama,506.0,4099.0,1.0,223,1064,4099,1287,4099,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,1056
2020-03-27,Alabama,587.0,4771.0,3.0,81,591,4771,672,4771,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,1351
2020-03-28,Alabama,696.0,4880.0,3.0,109,0,4880,109,4880,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,1278
2020-03-29,Alabama,806.0,4990.0,4.0,110,0,4990,110,4990,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,1249
2020-03-30,Alabama,859.0,6553.0,6.0,53,1510,6553,1563,6553,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,1420
2020-03-31,Alabama,981.0,7279.0,13.0,122,604,7279,726,7279,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,2467
2020-04-01,Alabama,1077.0,7774.0,26.0,96,399,7774,495,7774,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,2193
2020-04-02,Alabama,1233.0,8736.0,32.0,156,806,8736,962,8736,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,2008
2020-04-03,Alabama,1432.0,9619.0,35.0,199,684,9619,883,9619,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,2154
2020-04-04,Alabama,1580.0,10853.0,43.0,148,1086,10853,1234,10853,8,212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,1961
2020-04-05,Alabama,1796.0,13078.0,45.0,216,2009,13078,2225,13078,2,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,2130
2020-04-06,Alabama,1968.0,14765.0,50.0,172,1515,14765,1687,14765,5,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,1699
2020-04-07,Alabama,2119.0,14916.0,56.0,151,0,14916,151,14916,6,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,3176
2020-04-08,Alabama,2369.0,19122.0,66.0,250,3956,19122,4206,19122,10,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,2401
2020-04-09,Alabama,2769.0,20827.0,74.0,400,1305,20827,1705,20827,8,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,2240
2020-04-10,Alabama,2968.0,21026.0,80.0,199,0,21026,199,21026,6,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,2387
2020-04-11,Alabama,3191.0,21249.0,91.0,223,0,21249,223,21249,11,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,2189
2020-04-12,Alabama,3525.0,21583.0,93.0,334,0,21583,334,21583,2,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,1690
2020-04-13,Alabama,3734.0,29182.0,99.0,209,7390,29182,7599,29182,6,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,2135
2020-04-14,Alabama,3876.0,33117.0,110.0,142,3793,33117,3935,33117,11,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,2188
2020-04-15,Alabama,4113.0,34077.0,121.0,237,723,34077,960,34077,11,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,1885
2020-04-16,Alabama,4345.0,36391.0,133.0,232,2082,36391,2314,36391,12,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,2026
2020-04-17,Alabama,4530.0,37848.0,144.0,185,1272,37848,1457,37848,11,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,3220
2020-04-18,Alabama,4655.0,42538.0,146.0,125,4565,42538,4690,42538,2,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,1912
2020-04-19,Alabama,4837.0,45712.0,154.0,182,2992,45712,3174,45712,8,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,1981
2020-04-20,Alabama,5025.0,45900.0,167.0,188,0,45900,188,45900,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,1765
2020-04-21,Alabama,5231.0,48526.0,177.0,206,2420,48526,2626,48526,10,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,2040
2020-04-22,Alabama,5465.0,48760.0,194.0,234,0,48760,234,48760,17,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,2344
2020-04-23,Alabama,5778.0,52641.0,197.0,313,3568,52641,3881,52641,3,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,2152
2020-04-24,Alabama,5832.0,52695.0,197.0,54,0,52695,54,52695,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,2590
2020-04-25,Alabama,6137.0,71344.0,212.0,305,18344,71344,18649,71344,15,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,2029
2020-04-26,Alabama,6270.0,73551.0,216.0,133,2074,73551,2207,73551,4,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,2172
2020-04-27,Alabama,6499.0,73997.0,222.0,229,217,73997,446,73997,6,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,1465
2020-04-28,Alabama,6687.0,75827.0,242.0,188,1642,75827,1830,75827,20,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,1832
2020-04-29,Alabama,6842.0,80449.0,245.0,155,4467,80449,4622,80449,3,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,1892
2020-04-30,Alabama,7019.0,87196.0,269.0,177,6570,87196,6747,87196,24,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,1661
2020-05-01,Alabama,7158.0,91933.0,279.0,139,4598,91933,4737,91933,10,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,3645
2020-05-02,Alabama,7434.0,92209.0,288.0,276,0,92209,276,92209,9,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,2738
2020-05-03,Alabama,7725.0,92500.0,290.0,291,0,92500,291,92500,2,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,1553
2020-05-04,Alabama,8025.0,103117.0,296.0,300,10317,103117,10617,103117,6,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,2255
2020-05-05,Alabama,8285.0,106766.0,313.0,260,3389,106766,3649,106766,17,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,1366
2020-05-06,Alabama,8581.0,109516.0,340.0,296,2454,109516,2750,109516,27,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,2031
2020-05-07,Alabama,8898.0,115173.0,349.0,317,5340,115173,5657,115173,9,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,1788
2020-05-08,Alabama,9221.0,120114.0,375.0,323,4618,120114,4941,120114,26,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,1760
2020-05-09,Alabama,9567.0,125494.0,388.0,346,5034,125494,5380,125494,13,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,1806
2020-05-10,Alabama,9777.0,127421.0,393.0,210,1717,127421,1927,127421,5,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,1930
2020-05-11,Alabama,10009.0,129444.0,401.0,232,1791,129444,2023,129444,8,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,1601
2020-05-12,Alabama,10310.0,133218.0,429.0,301,3473,133218,3774,133218,28,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,2115
2020-05-13,Alabama,10617.0,133218.0,449.0,307,2847,136372,0,136372,20,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,15.97,43.99,31.04,76.84,23.16,4903185.0,854312.0,1937
