state,acs_variable,estimate,margin_of_error,estimate_type_population,health_insurance_coverage,private_insurance_coverage,public_coverage,age_group_under_19,age_group_overall,not_in_labor_force,labor_force_Unknown
Alabama,DP03_0096,4307566.0,8603.0,1,1,0,0,0,1,0,1
Alabama,DP03_0096P,90.0,0.2,0,1,0,0,0,1,0,1
Alabama,DP03_0097,3221648.0,15028.0,1,0,1,0,0,1,0,1
Alabama,DP03_0097P,67.3,0.3,0,0,1,0,0,1,0,1
Alabama,DP03_0098,1745707.0,10498.0,1,0,0,1,0,1,0,1
Alabama,DP03_0098P,36.5,0.2,0,0,0,1,0,1,0,1
Alabama,DP03_0099,477474.0,8636.0,1,0,0,0,0,1,0,1
Alabama,DP03_0099P,10.0,0.2,0,0,0,0,0,1,0,1
Alabama,DP03_0101,38671.0,2254.0,1,0,0,0,1,0,0,1
Alabama,DP03_0101P,3.3,0.2,0,0,0,0,1,0,0,1
Alabama,DP03_0105,1682856.0,8255.0,1,1,0,0,0,0,0,0
Alabama,DP03_0105P,87.6,0.3,0,1,0,0,0,0,0,0
Alabama,DP03_0106,1620100.0,8322.0,1,0,1,0,0,0,0,0
Alabama,DP03_0106P,84.3,0.3,0,0,1,0,0,0,0,0
Alabama,DP03_0107,118251.0,3100.0,1,0,0,1,0,0,0,0
Alabama,DP03_0107P,6.2,0.2,0,0,0,1,0,0,0,0
Alabama,DP03_0108,238762.0,4908.0,1,0,0,0,0,0,0,0
Alabama,DP03_0108P,12.4,0.3,0,0,0,0,0,0,0,0
Alabama,DP03_0110,75157.0,2309.0,1,1,0,0,0,0,0,0
Alabama,DP03_0110P,57.1,1.2,0,1,0,0,0,0,0,0
Alabama,DP03_0111,52210.0,1829.0,1,0,1,0,0,0,0,0
Alabama,DP03_0111P,39.7,1.1,0,0,1,0,0,0,0,0
Alabama,DP03_0112,28029.0,1448.0,1,0,0,1,0,0,0,0
Alabama,DP03_0112P,21.3,0.9,0,0,0,1,0,0,0,0
Alabama,DP03_0113,56389.0,2186.0,1,0,0,0,0,0,0,0
Alabama,DP03_0113P,42.9,1.2,0,0,0,0,0,0,0,0
Alabama,DP03_0115,661707.0,4622.0,1,1,0,0,0,0,1,0
Alabama,DP03_0115P,82.5,0.4,0,1,0,0,0,0,1,0
Alabama,DP03_0116,411626.0,3776.0,1,0,1,0,0,0,1,0
Alabama,DP03_0116P,51.3,0.6,0,0,1,0,0,0,1,0
Alabama,DP03_0117,335025.0,4915.0,1,0,0,1,0,0,1,0
Alabama,DP03_0117P,41.8,0.5,0,0,0,1,0,0,1,0
Alabama,DP03_0118,140511.0,3765.0,1,0,0,0,0,0,1,0
Alabama,DP03_0118P,17.5,0.4,0,0,0,0,0,0,1,0
Alaska,DP03_0096,611150.0,3127.0,1,1,0,0,0,1,0,1
Alaska,DP03_0096P,85.6,0.4,0,1,0,0,0,1,0,1
Alaska,DP03_0097,467898.0,4280.0,1,0,1,0,0,1,0,1
Alaska,DP03_0097P,65.5,0.6,0,0,1,0,0,1,0,1
Alaska,DP03_0098,221460.0,3389.0,1,0,0,1,0,1,0,1
Alaska,DP03_0098P,31.0,0.5,0,0,0,1,0,1,0,1
Alaska,DP03_0099,102956.0,3008.0,1,0,0,0,0,1,0,1
Alaska,DP03_0099P,14.4,0.4,0,0,0,0,0,1,0,1
Alaska,DP03_0101,20132.0,1034.0,1,0,0,0,1,0,0,1
Alaska,DP03_0101P,10.3,0.5,0,0,0,0,1,0,0,1
Alaska,DP03_0105,272650.0,2450.0,1,1,0,0,0,0,0,0
Alaska,DP03_0105P,83.8,0.6,0,1,0,0,0,0,0,0
Alaska,DP03_0106,249279.0,2454.0,1,0,1,0,0,0,0,0
Alaska,DP03_0106P,76.6,0.6,0,0,1,0,0,0,0,0
Alaska,DP03_0107,39058.0,1449.0,1,0,0,1,0,0,0,0
Alaska,DP03_0107P,12.0,0.4,0,0,0,1,0,0,0,0
Alaska,DP03_0108,52706.0,1886.0,1,0,0,0,0,0,0,0
Alaska,DP03_0108P,16.2,0.6,0,0,0,0,0,0,0,0
Alaska,DP03_0110,15936.0,833.0,1,1,0,0,0,0,0,0
Alaska,DP03_0110P,63.6,2.3,0,1,0,0,0,0,0,0
Alaska,DP03_0111,8785.0,679.0,1,0,1,0,0,0,0,0
Alaska,DP03_0111P,35.1,2.2,0,0,1,0,0,0,0,0
Alaska,DP03_0112,8540.0,647.0,1,0,0,1,0,0,0,0
Alaska,DP03_0112P,34.1,2.3,0,0,0,1,0,0,0,0
Alaska,DP03_0113,9105.0,775.0,1,0,0,0,0,0,0,0
Alaska,DP03_0113P,36.4,2.3,0,0,0,0,0,0,0,0
Alaska,DP03_0115,71865.0,1493.0,1,1,0,0,0,0,1,0
Alaska,DP03_0115P,78.2,1.0,0,1,0,0,0,0,1,0
Alaska,DP03_0116,46479.0,1400.0,1,0,1,0,0,0,1,0
Alaska,DP03_0116P,50.6,1.1,0,0,1,0,0,0,1,0
Alaska,DP03_0117,32069.0,1151.0,1,0,0,1,0,0,1,0
Alaska,DP03_0117P,34.9,1.2,0,0,0,1,0,0,1,0
Alaska,DP03_0118,20060.0,1020.0,1,0,0,0,0,0,1,0
Alaska,DP03_0118P,21.8,1.0,0,0,0,0,0,0,1,0
Arizona,DP03_0096,6089964.0,10857.0,1,1,0,0,0,1,0,1
Arizona,DP03_0096P,89.1,0.2,0,1,0,0,0,1,0,1
Arizona,DP03_0097,4293325.0,19965.0,1,0,1,0,0,1,0,1
Arizona,DP03_0097P,62.8,0.3,0,0,1,0,0,1,0,1
Arizona,DP03_0098,2620735.0,14716.0,1,0,0,1,0,1,0,1
Arizona,DP03_0098P,38.3,0.2,0,0,0,1,0,1,0,1
Arizona,DP03_0099,748306.0,10907.0,1,0,0,0,0,1,0,1
Arizona,DP03_0099P,10.9,0.2,0,0,0,0,0,1,0,1
Arizona,DP03_0101,147689.0,4098.0,1,0,0,0,1,0,0,1
Arizona,DP03_0101P,8.5,0.2,0,0,0,0,1,0,0,1
Arizona,DP03_0105,2427064.0,10654.0,1,1,0,0,0,0,0,0
Arizona,DP03_0105P,86.3,0.2,0,1,0,0,0,0,0,0
Arizona,DP03_0106,2147866.0,11327.0,1,0,1,0,0,0,0,0
Arizona,DP03_0106P,76.3,0.3,0,0,1,0,0,0,0,0
Arizona,DP03_0107,358698.0,4684.0,1,0,0,1,0,0,0,0
Arizona,DP03_0107P,12.8,0.2,0,0,0,1,0,0,0,0
Arizona,DP03_0108,386163.0,6275.0,1,0,0,0,0,0,0,0
Arizona,DP03_0108P,13.7,0.2,0,0,0,0,0,0,0,0
Arizona,DP03_0110,133035.0,2596.0,1,1,0,0,0,0,0,0
Arizona,DP03_0110P,73.3,0.8,0,1,0,0,0,0,0,0
Arizona,DP03_0111,61502.0,2061.0,1,0,1,0,0,0,0,0
Arizona,DP03_0111P,33.9,0.9,0,0,1,0,0,0,0,0
Arizona,DP03_0112,76854.0,1884.0,1,0,0,1,0,0,0,0
Arizona,DP03_0112P,42.4,0.9,0,0,0,1,0,0,0,0
Arizona,DP03_0113,48365.0,1611.0,1,0,0,0,0,0,0,0
Arizona,DP03_0113P,26.7,0.8,0,0,0,0,0,0,0,0
Arizona,DP03_0115,809961.0,7637.0,1,1,0,0,0,0,1,0
Arizona,DP03_0115P,83.9,0.4,0,1,0,0,0,0,1,0
Arizona,DP03_0116,454949.0,5528.0,1,0,1,0,0,0,1,0
Arizona,DP03_0116P,47.1,0.5,0,0,1,0,0,0,1,0
Arizona,DP03_0117,415195.0,5702.0,1,0,0,1,0,0,1,0
Arizona,DP03_0117P,43.0,0.4,0,0,0,1,0,0,1,0
Arizona,DP03_0118,155544.0,3618.0,1,0,0,0,0,0,1,0
Arizona,DP03_0118P,16.1,0.4,0,0,0,0,0,0,1,0
Arkansas,DP03_0096,2671701.0,5163.0,1,1,0,0,0,1,0,1
Arkansas,DP03_0096P,91.0,0.2,0,1,0,0,0,1,0,1
Arkansas,DP03_0097,1805487.0,11226.0,1,0,1,0,0,1,0,1
Arkansas,DP03_0097P,61.5,0.4,0,0,1,0,0,1,0,1
Arkansas,DP03_0098,1248288.0,8001.0,1,0,0,1,0,1,0,1
Arkansas,DP03_0098P,42.5,0.3,0,0,0,1,0,1,0,1
Arkansas,DP03_0099,265434.0,5245.0,1,0,0,0,0,1,0,1
Arkansas,DP03_0099P,9.0,0.2,0,0,0,0,0,1,0,1
Arkansas,DP03_0101,34775.0,2118.0,1,0,0,0,1,0,0,1
Arkansas,DP03_0101P,4.7,0.3,0,0,0,0,1,0,0,1
Arkansas,DP03_0105,1045178.0,6802.0,1,1,0,0,0,0,0,0
Arkansas,DP03_0105P,87.9,0.3,0,1,0,0,0,0,0,0
Arkansas,DP03_0106,945433.0,6948.0,1,0,1,0,0,0,0,0
Arkansas,DP03_0106P,79.5,0.4,0,0,1,0,0,0,0,0
Arkansas,DP03_0107,139120.0,3049.0,1,0,0,1,0,0,0,0
Arkansas,DP03_0107P,11.7,0.2,0,0,0,1,0,0,0,0
Arkansas,DP03_0108,143683.0,3444.0,1,0,0,0,0,0,0,0
Arkansas,DP03_0108P,12.1,0.3,0,0,0,0,0,0,0,0
Arkansas,DP03_0110,44481.0,1634.0,1,1,0,0,0,0,0,0
Arkansas,DP03_0110P,67.1,1.6,0,1,0,0,0,0,0,0
Arkansas,DP03_0111,22059.0,1005.0,1,0,1,0,0,0,0,0
