state,population,agegroup,pct_pop
AL,293203,0,0.059985830231608
AL,297900,1,0.0609467803057814
AL,310495,2,0.0635235668044431
AL,315680,3,0.0645843558473618
AL,325220,4,0.0665361258511119
AL,340014,5,0.0695628014732795
AL,303526,6,0.0620977926790621
AL,303994,7,0.0621935398867932
AL,288308,8,0.0589843717233945
AL,312966,9,0.0640291038777415
AL,314492,10,0.0643413052431212
AL,336811,11,0.0689075059468632
AL,318368,12,0.0651342885276637
AL,270799,13,0.0554022395435559
AL,216922,14,0.0443796491355848
AL,150858,15,0.0308637441536407
AL,98450,16,0.020141693592159
AL,89865,17,0.0183853051768347
AK,53115,0,0.0720263940832992
AK,52056,1,0.0705903411541038
AK,49759,2,0.0674755030253391
AK,46263,3,0.0627347654989301
AK,53000,4,0.0718704487699305
AK,61672,5,0.083630081444135
AK,57193,6,0.0775563504999742
AK,51672,7,0.0700696194120726
AK,42978,8,0.0582801537213976
AK,43558,9,0.0590666605192572
AK,44559,10,0.0604240627686667
AK,49246,11,0.0667798513230943
AK,45356,12,0.061504831592622
AK,35078,13,0.0475673887160683
AK,23477,14,0.0318358967126728
AK,13893,15,0.0188395499011442
AK,7710,16,0.0104551162267201
AK,6853,17,0.0092929846305723
AZ,435936,0,0.060786045490812
AZ,451726,1,0.0629877715659697
AZ,476421,2,0.0664311930622342
AZ,473794,3,0.0660648894270576
AZ,492176,4,0.0686280388072696
AZ,517980,5,0.0722260970494082
AZ,467865,6,0.0652381615043464
AZ,458887,7,0.0639862871089845
AZ,421544,8,0.0587792537445379
AZ,432165,9,0.0602602247796392
AZ,418625,10,0.0583722342123412
AZ,442085,11,0.0616434497742917
AZ,424192,12,0.0591484855777879
AZ,389729,13,0.0543430336634017
AZ,336433,14,0.046911545829228
AZ,239494,15,0.0333945652086006
AZ,150319,16,0.0209601812470945
AZ,142275,17,0.0198385419469952
AR,190343,0,0.0631566199099151
AR,193284,1,0.0641324562640498
AR,200786,2,0.0666216518875515
AR,197707,3,0.0656000265443415
AR,201638,4,0.0669043491244515
AR,206497,5,0.0685165860658797
AR,190091,6,0.0630730052342123
AR,191673,7,0.0635979195872355
AR,176845,8,0.0586779258915166
AR,184172,9,0.0611090557680025
AR,184495,10,0.0612162285467803
AR,198163,11,0.0657513292908513
AR,186304,12,0.0618164624687897
AR,162561,13,0.0539384337179498
AR,133450,14,0.0442792796529327
AR,95234,15,0.0315990477217489
AR,61565,16,0.0204275298001709
AR,59017,17,0.0195820925236203
CA,2441300,0,0.0617159345446557
CA,2488902,1,0.0629193105804541
CA,2547973,2,0.0644126223280834
CA,2545375,3,0.0643469450258481
CA,2711800,4,0.0685541602007936
CA,3125816,5,0.0790204627266774
CA,2917983,6,0.0737664555074829
CA,2754980,7,0.0696457483110783
CA,2500691,8,0.0632173358753163
