state,acs_variable,estimate,margin_of_error,estimate_type_population,health_insurance_coverage,private_insurance_coverage,public_coverage,age_group_under_19,age_group_overall,not_in_labor_force,labor_force_Unknown,bedsstate_local_government,bedsnon_profit,bedsfor_profit,bedstotal,population_state,pop_density_state,population_agegroup,agegroup,pct_pop_agegroup
AL,DP03_0096,4307566.0,8603.0,1,1,0,0,0,1,0,1,1.4,0.8,0.9,3.1,4887871,96.50938865,293203,0,0.059985830231608
AL,DP03_0096,4307566.0,8603.0,1,1,0,0,0,1,0,1,1.4,0.8,0.9,3.1,4887871,96.50938865,297900,1,0.0609467803057814
AL,DP03_0096,4307566.0,8603.0,1,1,0,0,0,1,0,1,1.4,0.8,0.9,3.1,4887871,96.50938865,310495,2,0.0635235668044431
AL,DP03_0096,4307566.0,8603.0,1,1,0,0,0,1,0,1,1.4,0.8,0.9,3.1,4887871,96.50938865,315680,3,0.0645843558473618
AL,DP03_0096,4307566.0,8603.0,1,1,0,0,0,1,0,1,1.4,0.8,0.9,3.1,4887871,96.50938865,325220,4,0.0665361258511119
AL,DP03_0096,4307566.0,8603.0,1,1,0,0,0,1,0,1,1.4,0.8,0.9,3.1,4887871,96.50938865,340014,5,0.0695628014732795
AL,DP03_0096,4307566.0,8603.0,1,1,0,0,0,1,0,1,1.4,0.8,0.9,3.1,4887871,96.50938865,303526,6,0.0620977926790621
AL,DP03_0096,4307566.0,8603.0,1,1,0,0,0,1,0,1,1.4,0.8,0.9,3.1,4887871,96.50938865,303994,7,0.0621935398867932
AL,DP03_0096,4307566.0,8603.0,1,1,0,0,0,1,0,1,1.4,0.8,0.9,3.1,4887871,96.50938865,288308,8,0.0589843717233945
AL,DP03_0096,4307566.0,8603.0,1,1,0,0,0,1,0,1,1.4,0.8,0.9,3.1,4887871,96.50938865,312966,9,0.0640291038777415
AL,DP03_0096,4307566.0,8603.0,1,1,0,0,0,1,0,1,1.4,0.8,0.9,3.1,4887871,96.50938865,314492,10,0.0643413052431212
AL,DP03_0096,4307566.0,8603.0,1,1,0,0,0,1,0,1,1.4,0.8,0.9,3.1,4887871,96.50938865,336811,11,0.0689075059468632
AL,DP03_0096,4307566.0,8603.0,1,1,0,0,0,1,0,1,1.4,0.8,0.9,3.1,4887871,96.50938865,318368,12,0.0651342885276637
AL,DP03_0096,4307566.0,8603.0,1,1,0,0,0,1,0,1,1.4,0.8,0.9,3.1,4887871,96.50938865,270799,13,0.0554022395435559
AL,DP03_0096,4307566.0,8603.0,1,1,0,0,0,1,0,1,1.4,0.8,0.9,3.1,4887871,96.50938865,216922,14,0.0443796491355848
AL,DP03_0096,4307566.0,8603.0,1,1,0,0,0,1,0,1,1.4,0.8,0.9,3.1,4887871,96.50938865,150858,15,0.0308637441536407
AL,DP03_0096,4307566.0,8603.0,1,1,0,0,0,1,0,1,1.4,0.8,0.9,3.1,4887871,96.50938865,98450,16,0.020141693592159
AL,DP03_0096,4307566.0,8603.0,1,1,0,0,0,1,0,1,1.4,0.8,0.9,3.1,4887871,96.50938865,89865,17,0.0183853051768347
AL,DP03_0096P,90.0,0.2,0,1,0,0,0,1,0,1,1.4,0.8,0.9,3.1,4887871,96.50938865,293203,0,0.059985830231608
AL,DP03_0096P,90.0,0.2,0,1,0,0,0,1,0,1,1.4,0.8,0.9,3.1,4887871,96.50938865,297900,1,0.0609467803057814
AL,DP03_0096P,90.0,0.2,0,1,0,0,0,1,0,1,1.4,0.8,0.9,3.1,4887871,96.50938865,310495,2,0.0635235668044431
AL,DP03_0096P,90.0,0.2,0,1,0,0,0,1,0,1,1.4,0.8,0.9,3.1,4887871,96.50938865,315680,3,0.0645843558473618
AL,DP03_0096P,90.0,0.2,0,1,0,0,0,1,0,1,1.4,0.8,0.9,3.1,4887871,96.50938865,325220,4,0.0665361258511119
AL,DP03_0096P,90.0,0.2,0,1,0,0,0,1,0,1,1.4,0.8,0.9,3.1,4887871,96.50938865,340014,5,0.0695628014732795
AL,DP03_0096P,90.0,0.2,0,1,0,0,0,1,0,1,1.4,0.8,0.9,3.1,4887871,96.50938865,303526,6,0.0620977926790621
AL,DP03_0096P,90.0,0.2,0,1,0,0,0,1,0,1,1.4,0.8,0.9,3.1,4887871,96.50938865,303994,7,0.0621935398867932
AL,DP03_0096P,90.0,0.2,0,1,0,0,0,1,0,1,1.4,0.8,0.9,3.1,4887871,96.50938865,288308,8,0.0589843717233945
AL,DP03_0096P,90.0,0.2,0,1,0,0,0,1,0,1,1.4,0.8,0.9,3.1,4887871,96.50938865,312966,9,0.0640291038777415
AL,DP03_0096P,90.0,0.2,0,1,0,0,0,1,0,1,1.4,0.8,0.9,3.1,4887871,96.50938865,314492,10,0.0643413052431212
AL,DP03_0096P,90.0,0.2,0,1,0,0,0,1,0,1,1.4,0.8,0.9,3.1,4887871,96.50938865,336811,11,0.0689075059468632
AL,DP03_0096P,90.0,0.2,0,1,0,0,0,1,0,1,1.4,0.8,0.9,3.1,4887871,96.50938865,318368,12,0.0651342885276637
AL,DP03_0096P,90.0,0.2,0,1,0,0,0,1,0,1,1.4,0.8,0.9,3.1,4887871,96.50938865,270799,13,0.0554022395435559
AL,DP03_0096P,90.0,0.2,0,1,0,0,0,1,0,1,1.4,0.8,0.9,3.1,4887871,96.50938865,216922,14,0.0443796491355848
AL,DP03_0096P,90.0,0.2,0,1,0,0,0,1,0,1,1.4,0.8,0.9,3.1,4887871,96.50938865,150858,15,0.0308637441536407
AL,DP03_0096P,90.0,0.2,0,1,0,0,0,1,0,1,1.4,0.8,0.9,3.1,4887871,96.50938865,98450,16,0.020141693592159
AL,DP03_0096P,90.0,0.2,0,1,0,0,0,1,0,1,1.4,0.8,0.9,3.1,4887871,96.50938865,89865,17,0.0183853051768347
AL,DP03_0097,3221648.0,15028.0,1,0,1,0,0,1,0,1,1.4,0.8,0.9,3.1,4887871,96.50938865,293203,0,0.059985830231608
AL,DP03_0097,3221648.0,15028.0,1,0,1,0,0,1,0,1,1.4,0.8,0.9,3.1,4887871,96.50938865,297900,1,0.0609467803057814
AL,DP03_0097,3221648.0,15028.0,1,0,1,0,0,1,0,1,1.4,0.8,0.9,3.1,4887871,96.50938865,310495,2,0.0635235668044431
AL,DP03_0097,3221648.0,15028.0,1,0,1,0,0,1,0,1,1.4,0.8,0.9,3.1,4887871,96.50938865,315680,3,0.0645843558473618
AL,DP03_0097,3221648.0,15028.0,1,0,1,0,0,1,0,1,1.4,0.8,0.9,3.1,4887871,96.50938865,325220,4,0.0665361258511119
AL,DP03_0097,3221648.0,15028.0,1,0,1,0,0,1,0,1,1.4,0.8,0.9,3.1,4887871,96.50938865,340014,5,0.0695628014732795
AL,DP03_0097,3221648.0,15028.0,1,0,1,0,0,1,0,1,1.4,0.8,0.9,3.1,4887871,96.50938865,303526,6,0.0620977926790621
AL,DP03_0097,3221648.0,15028.0,1,0,1,0,0,1,0,1,1.4,0.8,0.9,3.1,4887871,96.50938865,303994,7,0.0621935398867932
AL,DP03_0097,3221648.0,15028.0,1,0,1,0,0,1,0,1,1.4,0.8,0.9,3.1,4887871,96.50938865,288308,8,0.0589843717233945
AL,DP03_0097,3221648.0,15028.0,1,0,1,0,0,1,0,1,1.4,0.8,0.9,3.1,4887871,96.50938865,312966,9,0.0640291038777415
AL,DP03_0097,3221648.0,15028.0,1,0,1,0,0,1,0,1,1.4,0.8,0.9,3.1,4887871,96.50938865,314492,10,0.0643413052431212
AL,DP03_0097,3221648.0,15028.0,1,0,1,0,0,1,0,1,1.4,0.8,0.9,3.1,4887871,96.50938865,336811,11,0.0689075059468632
AL,DP03_0097,3221648.0,15028.0,1,0,1,0,0,1,0,1,1.4,0.8,0.9,3.1,4887871,96.50938865,318368,12,0.0651342885276637
AL,DP03_0097,3221648.0,15028.0,1,0,1,0,0,1,0,1,1.4,0.8,0.9,3.1,4887871,96.50938865,270799,13,0.0554022395435559
AL,DP03_0097,3221648.0,15028.0,1,0,1,0,0,1,0,1,1.4,0.8,0.9,3.1,4887871,96.50938865,216922,14,0.0443796491355848
