,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Alabama,0.0,14.342991522568795,9.551358131492016,16.037710385081613,10.216044225244296,16.991345277398096,18.87084574820819,15.119405622739968,20.09273450077156,15.098983229551994,12.29320248256136,17.26900214409471,11.691285156269323,15.06592800174456,18.478694137433706,13.156740283436848,13.833965393972768,11.159189272583482,16.779520723605284,12.337156204547705,16.518881241753686,20.89705470992046,14.95156790711034,13.312783431811527,12.40966328061773,13.784953240028123,12.300902589295948,16.49748559947729,10.618146790311965,12.01709539032995,23.150451512556963,11.392921261165062,25.124914342420407,10.85245011340967,15.167949356259218,18.53672015201556,11.372341827259321,10.598074588826478,14.35263159552023,16.185308582190473,10.483393800017891,14.9052120439965,10.596508122628471,12.34290214642152,10.986531262412282,14.105211678412696,13.962022885035829,13.736389864119769,9.505189360286241,12.298734881968288,14.260925184044405
Alaska,14.342991522568795,0.0,16.24265922572885,19.26607436158797,16.61409315556759,16.082865746518923,20.184526228227227,16.371540714738213,22.296418277711027,18.96331403408895,16.867383065037274,14.475316079312051,14.322440101093619,18.089413271700703,16.591322410842317,13.111095736254896,12.354400920439963,15.734340546809637,19.074521490156027,12.086268011503059,20.160793131310474,22.603563763734552,15.901092234834259,15.636803129237196,15.644825340625664,10.046886331117712,11.904353186216758,14.360794479335285,15.973685056475073,16.068087488236124,23.202196525254234,16.779144935147453,24.916442677512638,15.96739626401987,13.08881928862544,17.438595293847175,15.345560598475286,13.682214888291066,18.590569624093906,16.303246718122608,13.728290671878236,13.226772403188669,16.400448102780175,18.186430054277576,14.324719867605651,15.516317465458968,17.717123191870968,15.594855501391832,15.2161442553088,14.04139085463429,13.333406027992787
Arizona,9.551358131492016,16.24265922572885,0.0,15.545211381658342,9.882235909724375,14.046316708535077,16.598274285545433,14.09856050738877,17.59003544706681,11.716589601571261,12.23171762714481,18.824240245232723,10.985448284267314,12.946321817497786,20.428134543364475,13.692164788610146,14.531085620753986,11.120247516242252,14.780347215120196,14.097728115855604,14.048756662424918,18.037764504603633,14.803921132258687,11.302760370264929,10.040977313770604,15.257180474925285,14.60352127839771,16.04790956039013,8.504526314216076,11.589226639423131,20.624741814464475,10.85440992366044,23.918864437816072,10.184775661953088,15.015928397343332,21.507843944389144,11.004923619353558,10.666443690175829,14.048221434192886,15.29580410405772,11.017935448436088,13.57843014222009,10.385611717219835,9.740185730278652,10.330232630875951,13.441174795880428,14.397591524986424,14.020798630500567,9.236088971463085,12.133956237467073,15.758512660111457
Arkansas,16.037710385081613,19.26607436158797,15.545211381658342,0.0,15.084336808948676,18.097196709740253,22.86137592735726,19.805282224920965,22.186854266447583,15.594804092810163,16.14308415787482,20.17147613249626,14.87296976372843,16.491040132398837,22.266711662951565,18.096384917982302,18.320840278039547,14.968608809425913,19.447250744161924,18.282099152335103,19.524441324099516,22.73076890461782,19.18929863106043,15.232963422433416,15.417539032018784,18.577191596247847,17.04355519586636,18.308809596320277,13.852261825347954,17.129720038587593,24.637711878019896,14.329750999526837,26.188272555231187,14.787625985140922,15.38171072274881,22.473100930142206,14.697197151816264,16.078573162515465,18.25218139668818,19.827737803911152,16.49050229116505,16.1454562940074,13.830698410509513,14.777295121155106,14.76102252827676,19.053194041076832,18.334552736759136,19.17417098981236,13.896443638494048,15.258664120107367,20.25411887884019
California,10.216044225244296,16.61409315556759,9.882235909724375,15.084336808948676,0.0,15.864636150009671,19.441591501834708,15.467484603323502,19.423299828442325,12.01156038684177,12.270832079740844,19.38621777583486,12.399017055267983,13.212156956864337,17.046109439990577,12.49547959181545,15.352697604063806,9.24018923358566,16.7577285916884,13.260490643664555,15.714061685277613,19.72301636816961,16.268044943672297,13.250300597458084,12.947206069014067,17.21034121094045,13.805333581786648,16.294465953175553,9.650077666690194,13.384621324388048,22.030851756580358,8.071315469256643,24.074744496444243,10.201319744460218,17.147116675538662,18.834436586081974,9.449391946891547,11.176742707449142,14.146205240728746,14.633446330297994,11.144524349160367,15.223507121081488,9.335051589795084,9.806546425372709,10.514928984851002,14.739962969847156,11.42443787200256,15.354374053593325,9.299249770953196,13.065513152664035,17.956886775423538
Colorado,16.991345277398096,16.082865746518923,14.046316708535077,18.097196709740253,15.864636150009671,0.0,13.858885878791229,17.22942893864988,16.106154825221022,18.630645750207798,18.060371081367396,20.98931189945274,14.397454451542327,12.088672394549619,21.88146211774154,13.606899040528436,16.29059940156279,13.62844383137543,16.501365199250603,15.801185378013392,12.956633361695502,15.238514122159662,13.094483223135134,10.980230531482013,14.97151817441353,16.492888177055715,15.26076073604664,15.693012965128968,14.062300057676318,11.383922613628428,16.334069955925667,13.01334527887466,17.848339914277624,14.203336777389962,13.422905774402459,24.61083631165625,14.884428224600912,12.94533651658888,12.440017346271869,15.778762902279738,17.243500979338428,12.95418491951607,14.733394299180004,17.30061012809355,14.062475030279774,12.194148987141729,21.366902209778225,14.278304269028581,12.264412735172245,12.809649004940072,16.535658737646603
Connecticut,18.87084574820819,20.184526228227227,16.598274285545433,22.86137592735726,19.441591501834708,13.858885878791229,0.0,15.36114057890408,10.212060970571894,20.552640131299096,17.871082925440973,23.549626003533405,18.729804098279306,11.681838667483802,20.52888818812729,19.22833070739737,20.67886127300603,14.627337786689047,13.092396939896815,17.773235992236984,11.129605267085246,9.852293788095864,12.439876113946465,14.84928565256468,17.396436445717725,18.67005378750342,21.379873038648242,18.541724800982866,18.225511309882727,11.68819143554163,9.574922014418116,17.099983946399682,12.205057488702845,17.727856689197264,18.62406776824119,22.426786865148753,16.068175264070895,17.16399712578343,9.74272584440008,14.108549713645793,18.125266208768107,18.72010861199107,19.844868586487284,21.949976821804473,17.076037098094897,11.9658232134124,18.70697188927397,17.08881791511629,17.944343548236372,17.67740967970518,19.56853709843821
Delaware,15.119405622739968,16.371540714738213,14.09856050738877,19.805282224920965,15.467484603323502,17.22942893864988,15.36114057890408,0.0,15.104016875002547,16.886068980526794,15.212966511793127,16.35247801925727,16.024958760673332,15.315248083662286,16.61656744525419,15.182521629612793,16.966938465174877,14.390439577242798,14.837542095964602,13.557864627542223,14.504298989085228,15.601524245670985,14.883058409915598,15.92342215806796,14.714666604261106,15.692082836642104,17.518406717501264,16.6093638964804,14.34549781424156,13.33143004024432,16.425069663367836,15.542416723447381,18.004990535987513,14.26932811366953,18.053431570469392,16.972140066374862,13.937946510354543,14.41135278498397,15.045893250473533,13.391912796818179,12.979128966354052,18.036793326846873,16.264714344033248,16.43285228081876,14.230119255597627,15.047471955431373,13.726149253559356,16.327815530719437,15.19147775409747,16.132135094003687,16.74789451674541
District of Columbia,20.09273450077156,22.296418277711027,17.59003544706681,22.186854266447583,19.423299828442325,16.106154825221022,10.212060970571894,15.104016875002547,0.0,18.382631101079774,17.985371955041472,23.108973355066098,20.162223877357157,11.715795336852224,20.188471226046282,20.563858688730317,22.508383447899796,14.415556325140432,11.882041580710528,18.594535254384812,9.43706553699676,8.566937494419816,13.661149691175419,16.14604487978739,16.646810264581475,20.50820111764708,22.706113278952095,18.965710791469263,18.350701720333184,12.940747068462617,8.315360421628451,17.287035087229636,10.57954141686903,18.06969057360271,20.12782948893045,22.635132118992026,16.0525984865363,18.78012147085541,11.76341368892695,13.578528101596882,17.736969670623736,21.252876907211036,20.699898602527846,21.53990358951845,18.018226199932627,13.859879838636992,17.84455367304623,17.354131713979285,19.0815834639993,19.75499548418194,21.83413690360516
Florida,15.098983229551994,18.96331403408895,11.716589601571261,15.594804092810163,12.01156038684177,18.630645750207798,20.552640131299096,16.886068980526794,18.382631101079774,0.0,12.835925782095952,19.510483579859883,13.729651568637658,16.756726268942973,22.4630551307093,18.32659331415247,18.565835497246184,12.602140860660512,14.19382897713296,19.202036647453628,15.830401755989545,18.785017746986178,18.098388911662905,16.308947157463365,11.220799536790569,18.81331574913277,16.87310867769003,19.294313854944903,10.627317098457803,15.743126598176842,21.89871600307729,13.921225907793715,24.26989020823211,12.402913970283496,17.246173000234805,22.74327496779308,13.025114132500859,14.755590469382906,17.967080103766648,18.074327818044182,12.220712383759182,17.840602213637464,12.070203070528292,9.430700522307424,13.424529455083642,17.998811042478774,15.603664648169751,17.26374702293943,13.28186871398874,16.632341265853405,20.50050629895034
Georgia,12.29320248256136,16.867383065037274,12.23171762714481,16.14308415787482,12.270832079740844,18.060371081367396,17.871082925440973,15.212966511793127,17.985371955041472,12.835925782095952,0.0,18.506263246894562,13.17496754556449,15.525344844174853,20.864205308821614,16.919213263549263,15.840135758289145,12.636614236578456,15.121964782731398,14.588437451129797,15.676358142341074,18.07231223639142,15.159133457910746,15.11117411837744,12.68332285002981,16.431507891502292,14.93987713706906,17.599325095744568,11.810860313974672,14.36801353767547,19.608615779991798,13.562969242252416,21.888798208130332,12.167193063999026,16.36928494509314,21.47136239610324,11.077990015875997,13.929774049746015,15.758171961561882,16.68137534433248,12.837045329044114,16.383669612181123,12.116067846642498,12.395328255070375,12.693212379138178,15.579391159230017,14.577530462371474,15.612448738392072,11.679999729861176,14.841120073724706,16.943272390702866
