,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Alabama,0.0,18.008293008843303,13.978724573588892,16.365435052631064,20.469489490458717,19.036136856437466,28.338614080014786,20.469489490458717,20.469489490458717,18.694635992826818,17.80202271440389,21.731651904969077,17.376486553494487,20.469489490458717,25.73471436785826,28.390553900447863,18.43174320742006,16.138179960736835,20.469489490458717,19.729267327907813,20.63667200931825,22.23029628036871,20.469489490458717,19.111264597276158,18.95737315365662,20.469489490458717,22.80325545043308,25.57747165915802,20.469489490458717,13.887808796834182,26.420512141237246,19.521086837738377,20.469489490458717,20.469489490458717,20.795114591114235,18.433386591081597,16.617300540726255,17.32485606254079,28.44087028163608,20.512919455442155,18.129576396800555,18.945507199728674,16.64762800708873,20.469489490458717,18.3222882354414,28.46087662506606,19.395867024774997,25.590064043208923,20.469489490458717,18.703328901801097,20.46290810938297
Alaska,18.008293008843303,0.0,20.045139007853283,13.08052871974176,20.469489490458706,12.40871940470364,28.32949137068535,20.469489490458706,20.469489490458706,17.156737326798897,14.857070652036095,17.211075875218388,10.458996511065493,20.469489490458706,23.19210860635361,28.39824981145312,14.23812153153375,14.348103071902154,20.469489490458706,14.082027018077607,15.858723785972273,18.345353416816813,20.469489490458706,11.374907494172119,16.04309376525246,20.469489490458706,16.155538094859466,22.881275244202786,20.469489490458706,21.796637520362854,24.139876266893356,14.48476744113045,20.469489490458706,20.469489490458706,12.815865249221734,10.875484047917785,10.901759112692979,10.85156031591588,28.405172642463643,15.528060739182465,19.408844591019843,11.634207386942805,13.81494053445873,20.469489490458706,11.477215441280402,28.44711934932747,14.3890520446971,23.157662136512048,20.469489490458706,12.03058131026401,15.334356213923176
Arizona,13.978724573588892,20.045139007853283,0.0,18.78036258978637,20.469489490458727,21.531181810120568,24.622836819544414,20.469489490458727,20.469489490458727,18.570241491422063,19.209479142561797,21.423786238875152,18.522349368417785,20.469489490458727,25.458760846297384,28.88788606183922,21.857294682502236,17.569026794593373,20.469489490458727,21.37299210188457,20.886048972907233,25.24994044269061,20.469489490458727,19.79680927084734,23.577515655293823,20.469489490458727,22.955495032148164,24.4780988260757,20.469489490458727,15.682570545888362,26.85740041797416,20.85549052622508,20.469489490458727,20.469489490458727,21.789102771109235,19.253919892818047,19.35755643427343,20.33196738255506,28.885569487355333,23.01605311983038,19.087864708804762,20.731773097715845,18.221158744306713,20.469489490458727,19.613416062968522,28.892048104123386,20.5674739295933,26.08822948597271,20.469489490458727,20.877488638343625,19.829556746339634
Arkansas,16.365435052631064,13.08052871974176,18.78036258978637,0.0,20.469489490458717,14.53333794902799,26.63317053365469,20.469489490458717,20.469489490458717,12.91114674926696,11.617908859691228,18.408111712786926,11.33648194049771,20.469489490458717,20.412898009227256,27.498800595494643,15.19241805304168,13.281068321688725,20.469489490458717,14.236072538568248,13.811604199872948,18.246518538030617,20.469489490458717,13.81551866444468,17.252070429224606,20.469489490458717,19.402708299065125,23.035339762718884,20.469489490458717,18.585457341267425,23.508966604385048,13.069108553798195,20.469489490458717,20.469489490458717,16.022594573214192,12.649145879465905,11.212511895752726,13.594951377477624,27.701556048255576,15.011177201693712,16.48018952272184,13.834831185726426,10.77375063247695,20.469489490458717,11.912200217751417,27.145714466950366,13.16711533862354,22.372769837574378,20.469489490458717,12.545360258622427,15.652910784529258
California,20.469489490458717,20.469489490458706,20.469489490458727,20.469489490458717,0.0,20.469489490458717,20.46948949045872,0.0,0.0,20.469489490458702,20.46948949045872,20.469489490458717,20.46948949045872,0.0,20.46948949045873,20.469489490458724,20.469489490458702,20.46948949045871,0.0,20.46948949045874,20.469489490458724,20.469489490458734,0.0,20.46948949045872,20.46948949045867,0.0,20.469489490458724,20.469489490458738,0.0,20.469489490458795,20.469489490458724,20.469489490458713,0.0,0.0,20.469489490458727,20.46948949045872,20.469489490458717,20.46948949045872,20.46948949045872,20.469489490458727,20.469489490458695,20.46948949045872,20.469489490458727,0.0,20.469489490458706,20.46948949045872,20.469489490458713,20.46948949045872,0.0,20.469489490458727,20.469489490458702
Colorado,19.036136856437466,12.40871940470364,21.531181810120568,14.53333794902799,20.469489490458717,0.0,26.0222767867272,20.469489490458717,20.469489490458717,18.396326076869453,16.334332775035246,16.46084644672436,14.067472467702629,20.469489490458717,19.321665520792493,28.15195245979517,16.183382720058788,14.929198456743977,20.469489490458717,15.020660124509481,14.381995067949052,15.594293257010989,20.469489490458717,14.185780528638361,16.19602098372168,20.469489490458717,17.72516628225141,19.345756989250695,20.469489490458717,20.826033053016054,19.95674616730553,13.403335431428696,20.469489490458717,20.469489490458717,13.09259387866266,13.359870752812638,13.904475012401257,12.077283575990691,28.320868948098084,13.828612949542268,20.38329127715968,13.834404167521317,16.136905632327682,20.469489490458717,14.377004994116382,28.082764619395043,14.831552671784907,19.156541304017498,20.469489490458717,13.794474785687672,16.25205924406386
Connecticut,28.338614080014786,28.32949137068535,24.622836819544414,26.63317053365469,20.46948949045872,26.0222767867272,0.0,20.46948949045872,20.46948949045872,26.890925756457435,26.553541244438556,27.699735467861622,28.17499067563842,20.46948949045872,20.884437027022944,28.175202534485276,28.094530081173488,25.601406773435343,20.46948949045872,27.723311554020874,26.41006045638622,24.063299927766785,20.46948949045872,28.297102762764286,27.389963313779905,20.46948949045872,28.64590143534701,26.881677355418073,20.46948949045872,25.209082585411178,22.422333023846242,25.861582468612838,20.46948949045872,20.46948949045872,28.30729731769183,28.267522365214433,28.267016850071503,27.77705250659769,28.01722892611598,24.785304535507045,26.7926329141082,28.603025519989412,26.822875869347673,20.46948949045872,28.76152982514525,28.301681281005376,26.68950734273855,20.662496857446488,20.46948949045872,27.944628055142637,27.675319149127365
Delaware,20.469489490458717,20.469489490458706,20.469489490458727,20.469489490458717,0.0,20.469489490458717,20.46948949045872,0.0,0.0,20.469489490458702,20.46948949045872,20.469489490458717,20.46948949045872,0.0,20.46948949045873,20.469489490458724,20.469489490458702,20.46948949045871,0.0,20.46948949045874,20.469489490458724,20.469489490458734,0.0,20.46948949045872,20.46948949045867,0.0,20.469489490458724,20.469489490458738,0.0,20.469489490458795,20.469489490458724,20.469489490458713,0.0,0.0,20.469489490458727,20.46948949045872,20.469489490458717,20.46948949045872,20.46948949045872,20.469489490458727,20.469489490458695,20.46948949045872,20.469489490458727,0.0,20.469489490458706,20.46948949045872,20.469489490458713,20.46948949045872,0.0,20.469489490458727,20.469489490458702
District of Columbia,20.469489490458717,20.469489490458706,20.469489490458727,20.469489490458717,0.0,20.469489490458717,20.46948949045872,0.0,0.0,20.469489490458702,20.46948949045872,20.469489490458717,20.46948949045872,0.0,20.46948949045873,20.469489490458724,20.469489490458702,20.46948949045871,0.0,20.46948949045874,20.469489490458724,20.469489490458734,0.0,20.46948949045872,20.46948949045867,0.0,20.469489490458724,20.469489490458738,0.0,20.469489490458795,20.469489490458724,20.469489490458713,0.0,0.0,20.469489490458727,20.46948949045872,20.469489490458717,20.46948949045872,20.46948949045872,20.469489490458727,20.469489490458695,20.46948949045872,20.469489490458727,0.0,20.469489490458706,20.46948949045872,20.469489490458713,20.46948949045872,0.0,20.469489490458727,20.469489490458702
Florida,18.694635992826818,17.156737326798897,18.570241491422063,12.91114674926696,20.469489490458702,18.396326076869453,26.890925756457435,20.469489490458702,20.469489490458702,0.0,8.711037022761817,20.47226603800842,13.510270283981674,20.469489490458702,22.552375030498435,27.63801330526897,18.107884577873524,19.089307010663113,20.469489490458702,18.609408794579657,13.8765014782166,22.778933705527095,20.469489490458702,17.9602396851146,19.250420658916788,20.469489490458702,22.241217418069876,22.605865696571925,20.469489490458702,20.128228884234744,25.510221102811506,16.40713309585858,20.469489490458702,20.469489490458702,21.2228735765208,15.405043468026623,13.544105483605998,15.804702990702026,27.74618851816765,20.012429307509663,16.169583079458377,19.192917734166727,9.730461614178665,20.469489490458702,15.172363136839111,27.596003208916265,11.404252292708996,23.500324053865295,20.469489490458702,17.161135763036096,19.833189901927007
Georgia,17.80202271440389,14.857070652036095,19.209479142561797,11.617908859691228,20.46948949045872,16.334332775035246,26.553541244438556,20.46948949045872,20.46948949045872,8.711037022761817,0.0,19.174979996297044,12.443159324979979,20.46948949045872,22.489801926513987,27.56507680058155,16.817010898851763,15.987208977628145,20.46948949045872,15.278843888015347,12.772812504472174,20.204761095528593,20.46948949045872,15.897612064032861,18.21720054716769,20.46948949045872,21.758088153905675,22.896935690143003,20.46948949045872,18.778610189745148,25.013375177772847,14.054873171884438,20.46948949045872,20.46948949045872,19.52146247637522,13.136620258447891,12.913978471088551,13.752876944296256,27.548399031440233,17.029010077090103,15.514830513998236,17.676177822944087,10.041517611500398,20.46948949045872,13.618586201052917,27.02664172426249,10.880098398151558,22.82955403856894,20.46948949045872,15.37473949387565,18.670405117765153
Hawaii,21.731651904969077,17.211075875218388,21.423786238875152,18.408111712786926,20.469489490458717,16.46084644672436,27.699735467861622,20.469489490458717,20.469489490458717,20.47226603800842,19.174979996297044,0.0,18.30958868057102,20.469489490458717,25.942385347197376,28.351753338370326,19.971917589060823,18.744404233885646,20.469489490458717,19.660779586514284,18.500644433088837,20.225443306702022,20.469489490458717,18.876461661015952,19.941831191843388,20.469489490458717,22.960938416725075,24.995565473459546,20.469489490458717,23.977741358864186,25.050942811935233,20.319595639453752,20.469489490458717,20.469489490458717,11.188684246348485,18.869792240695823,17.76388969017486,14.588645258354703,28.328806768257223,19.2069298248175,22.58168070914972,17.8467850518928,19.64807763323063,20.469489490458717,18.807502882614266,28.375465376958964,19.913883384924677,25.6156634019212,20.469489490458717,19.164594186617734,18.840601117529776
Idaho,17.376486553494487,10.458996511065493,18.522349368417785,11.33648194049771,20.46948949045872,14.067472467702629,28.17499067563842,20.46948949045872,20.46948949045872,13.510270283981674,12.443159324979979,18.30958868057102,0.0,20.46948949045872,21.254563453685716,28.13600868651528,14.718895526133679,14.071644528670149,20.46948949045872,12.593938767028217,12.502557888035579,19.361251683712574,20.46948949045872,8.777420767368945,17.302965853089603,20.46948949045872,17.291634236865985,21.916559546329736,20.46948949045872,19.833414602313553,24.297844975494616,11.607923568285333,20.46948949045872,20.46948949045872,14.603780992085209,7.862556096978167,9.151041933162896,11.845821942492284,28.267736136705917,15.656110037332551,17.377783186948204,8.80886979061196,10.679225271372685,20.46948949045872,7.583679854546938,28.19691612893329,10.92418381745171,22.06738891433919,20.46948949045872,9.268571578248409,15.274220194699643
