,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Alabama,0.0,7.83462294255927,8.179304511852848,6.798819649466541,7.356870910647543,8.420550823308409,15.142020802936527,7.992899760102154,12.022739119029419,8.092093640892907,10.122502610765144,10.913723897381427,6.872426905652665,8.243846416882763,7.726030879374593,9.668201637486948,16.006340438719445,9.083556717360434,11.718134985604767,10.270824355476742,7.649038456671387,12.342319682063657,11.697273716493621,9.266786044860128,6.636651436711041,7.3894007988084045,8.793032764157244,8.283001583826463,6.128524987531756,9.535723111555232,12.970181781755965,7.867742459061028,14.472299358848588,9.954131040763558,12.302519735890074,9.558796454459642,8.536981593640977,6.3910819418971485,8.471094127663582,8.72036804884187,7.411779626491106,10.31535513780783,9.499934090125603,9.321745515014412,8.856883315812626,11.10328386161832,7.355199481824471,11.103474431469303,7.255549883406813,9.082201453047833,10.808479862798121
Alaska,7.83462294255927,0.0,9.725315406019986,9.024984815761162,8.327533266517483,5.957144276099532,14.115545697800862,8.513077920126301,12.714380580739599,10.640857420074658,12.793087280926706,16.880860091105458,7.167288607024178,7.0342635670451426,6.028494082739258,7.430878044412043,15.884885529218177,8.444907593229834,13.212988168961562,9.950950711878736,8.847149345424379,11.779712042449646,10.183530043939111,7.126747282868232,9.292011408303756,7.881483821399251,6.355855075824652,6.887796692200398,6.882847908238155,8.097544946108696,11.126854996819151,6.4892562105912415,13.955510145280119,10.870824783350871,7.143103066464212,7.454899907480587,8.844650458344397,6.252730176625258,6.2794148761193265,8.107987121186824,11.142755154087945,7.187411892746139,9.131078154174807,11.994530566277302,7.837891984836317,10.32347232389771,9.233377166175972,9.936461839348956,6.50452210367199,6.801518547136757,8.626429498555817
Arizona,8.179304511852848,9.725315406019986,0.0,8.32401342750854,7.137093153386301,9.353908008574745,13.875115268391795,7.708220371394946,11.131960317514132,7.450436949064193,10.338641780590535,15.550148447272491,8.48163098475802,9.97548702373764,8.890830093083881,10.349133641314564,15.704534173472211,8.145402442873198,11.62094717536399,9.145878481722818,8.016616392105723,11.624845757909915,12.073639221017558,11.16144831811106,7.8776918076688505,9.31051976375683,11.29237983510179,10.279513478607983,6.8044744084210045,9.100336691218198,12.84651820401302,8.353465191006448,14.09083046923207,8.51287980022602,15.810148531564213,8.56338540464762,6.847903442202771,7.503395030259223,8.917338275184546,8.695286821808475,7.27606797402945,13.443397873073403,8.192792235879965,10.92326468869415,8.085582641946017,11.23952426468992,7.212552881605719,10.45969840629603,7.164162382241095,11.849430320713454,11.575732546177
Arkansas,6.798819649466541,9.024984815761162,8.32401342750854,0.0,8.872483703575412,9.431458783316288,14.46002146112505,8.238409275264663,11.479534613063533,8.898678465624986,11.349310392638621,13.05292691993116,8.009792984944976,9.165833503160036,8.330330300311136,10.479778756789694,15.674971439824835,8.735880964886487,11.284378960905547,9.529534699722982,8.686395378563363,11.074272814445742,12.190507612713775,11.03789606799782,7.269850983455036,8.5372380372221,9.296830734551497,9.026193429050368,7.499651403069249,8.841921592782843,12.092339436852933,9.055631147433726,13.740252906640794,10.014217388608545,12.925601661907848,10.00474909536045,8.166420305059686,7.780316897804126,8.424690858911015,8.886433268407044,8.270198428211446,10.951436837381307,9.954380026787321,10.269048693244072,9.018732219990248,11.499951309506436,7.583727883356444,10.953414512353017,7.76133495843159,9.319918880768265,11.474724728071907
California,7.356870910647543,8.327533266517483,7.137093153386301,8.872483703575412,0.0,6.3367401565570125,16.039853846901472,7.067944856370242,11.8334241033545,9.23255870196345,10.915803465860407,14.247049462227622,8.408908793881794,7.76076508361071,5.36152799378311,13.058884288215104,17.420202326775346,9.204573269323538,13.418957339598087,7.8909640894025435,6.232309109543089,10.5977407079006,12.107248451957496,8.957968265886189,7.926594612598924,8.666512761940911,11.103910827663032,9.365281274172226,5.369905771035848,7.168908769550065,11.110633281804642,5.290370629955457,11.727385025837377,9.943191363912337,15.702195654985177,7.562624149137316,8.619768454788424,5.340707729378056,5.936897986214585,7.062421224725384,7.8761709828250615,13.421606136751796,9.344313046165704,10.823550972985455,8.95086575895999,11.056140358285617,5.212483836373565,12.18446630119046,4.762453738022734,11.8307775128893,11.098787017673509
Colorado,8.420550823308409,5.957144276099532,9.353908008574745,9.431458783316288,6.3367401565570125,0.0,15.093219991163332,6.63213131484861,10.261886688221093,12.533919716430711,12.931643840236715,18.201848161287817,7.524384409331231,4.215876285874613,4.0030140208565985,6.098168880779367,16.873451016708536,9.352486965477393,14.486449134377576,9.550669325311178,6.35856546371583,9.236922185875379,10.47520230555856,5.12831598770144,9.161761224462737,7.109367310822911,5.845735458120753,5.340145677924241,6.494523400729734,6.5226906549874455,7.632544106244666,4.218719391950384,10.48716206930906,11.341940531298768,5.645631891738151,7.271536137544048,9.162610951435258,5.29890521695893,4.334537799822023,6.160101890329267,11.241709840784722,6.546407046264015,9.86540625374616,12.519565091103347,8.213939444750952,10.303879309597018,8.701568005218965,11.82529475348583,5.048390841499866,5.852682673331992,8.396307617575133
Connecticut,15.142020802936527,14.115545697800862,13.875115268391795,14.46002146112505,16.039853846901472,15.093219991163332,0.0,12.93861457635319,13.12016222598175,16.746331943537093,16.30963648111889,20.656456859178036,14.041820038621314,14.98448022553991,14.979336128861005,14.397930591471082,12.886266512311133,12.419951412901307,12.97755043633913,13.051933327850412,15.037527733489668,13.791856803530454,10.997418631298467,15.21100434572471,15.77749686581709,15.95118647458966,14.628230214966424,14.018632519706683,14.629239905488927,13.143715409518325,14.423304164631212,14.758695496670914,15.55474285348734,12.40001118182506,16.554164558627086,13.475450268444968,13.81509215821656,14.504790567220834,14.686552824685483,13.532116394996857,14.38889483364871,13.839099999393286,11.962588808948711,15.107316692843545,13.302508706105627,13.088496288932669,14.689304728541886,11.09358066068665,14.869534420042207,14.446488119682604,12.317830611119808
Delaware,7.992899760102154,8.513077920126301,7.708220371394946,8.238409275264663,7.067944856370242,6.63213131484861,12.93861457635319,0.0,7.379493733476981,10.168494203386516,11.238611640331623,13.515922752516872,7.892024483093819,6.360412630268943,6.427702553820911,8.589550405812687,15.87182259571191,8.084137313412633,12.030288100076087,7.390583240188469,6.253849714070667,8.25912917438919,10.935817694422266,8.496845741670294,7.924733797326861,8.813955355590588,9.004360873385776,7.432223149060075,6.952929800923712,6.579917206594555,6.559328439013902,6.996691462424865,7.14334578812812,9.208276315749123,13.36709830031967,8.44010850334799,8.844093245497113,7.012450441129908,6.257531674264296,6.134095324540821,7.993458788510869,9.927500686783501,8.575000589860192,10.843319638548145,8.07732876897933,8.650161603307518,6.118959810498219,10.424487712272256,6.6816361401628495,9.063749005421982,9.457033058224006
District of Columbia,12.022739119029419,12.714380580739599,11.131960317514132,11.479534613063533,11.8334241033545,10.261886688221093,13.12016222598175,7.379493733476981,0.0,14.152379099654395,13.17289904880943,18.449536050994578,12.146764904901746,9.016378884411576,10.653254788753951,10.602241358114243,17.032793179608362,11.004343060760187,13.007328984142342,10.427105764416906,7.567905202094938,8.763039783951983,12.682352791032239,11.660471726875718,11.210789314858838,12.996643368082847,13.5413660685548,9.807262895333754,11.596165742858908,9.701191572175976,7.394709582356006,10.991201807132459,8.466711784146487,12.167670065918339,15.396441601542298,11.726775733138837,12.419783558833073,11.655098594458124,9.873628094297473,8.302040588309023,11.804883440918177,12.333489671291419,11.964980183353685,13.607816409926023,11.930168672620198,9.992973402184266,9.02445908416193,12.547147746436076,11.541048630995542,12.726279786365815,12.986788402886765
Florida,8.092093640892907,10.640857420074658,7.450436949064193,8.898678465624986,9.23255870196345,12.533919716430711,16.746331943537093,10.168494203386516,14.152379099654395,0.0,10.584444016350803,11.609860829491701,9.201803961665444,12.821468911913026,12.31326076994785,12.14277527809576,17.285504561337834,9.76354511221688,11.74001475926812,12.693282734077728,9.96222414780577,14.770750716430165,14.454995327400534,13.8869264378301,8.153105778466172,10.04060235305543,12.247252074078535,12.681674550962947,7.5109433170041635,13.253818482200208,16.391423580622355,11.647212331609083,17.415503227719203,9.701139907412761,16.113419768171493,12.185409189619694,9.368385555202762,9.883621011979244,12.623307093540975,12.268794010053282,7.375501965981889,15.040268373821677,9.517581684655891,9.902296396579414,10.807553315814216,13.55709246315037,9.186761866405122,11.203350145494246,10.149631712951068,13.18050025740886,14.910183600591893
