state,no_coverage,private_coverage,public_coverage,labor_cov_diff,bedsState_local_government,bedsNon_profit,bedsFor_profit,bedsTotal,population_state,pop_density_state,pop_0-9,pop_10-19,pop_20-29,pop_30-39,pop_40-49,pop_50-59,pop_60-69,pop_70-79,pop_80+,Low_SVI_CTGY,Moderate_Low_SVI_CTGY,Moderate_High_SVI_CTGY,High_SVI_CTGY,Metro,Non-metro
Alabama,10.0,67.3,36.5,5.1,1.4,0.8,0.9,3.1,4887871,96.50938865,0.1209326105373894,0.1281079226518049,0.1360989273243914,0.1242913325658553,0.12301347560113599,0.1332488111899844,0.1205365280712196,0.0752433932892255,0.0385269987689937,8.99,15.97,43.99,31.04,76.84,23.16
Alaska,14.4,65.5,31.0,5.6,0.3,1.5,0.4,2.2,737438,1.2915230609,0.14261673523740298,0.1302102685242692,0.1555005302140655,0.1476259699120468,0.1173468142406548,0.12720391409176102,0.10907222030869029,0.050675446613816996,0.0197481008572924,0.79,83.41,7.29,8.51,67.41,32.59
Arizona,10.9,62.8,38.3,2.4,0.1,1.3,0.5,1.9,7171646,63.135855048,0.1237738170567817,0.1324960824892918,0.1408541358566778,0.1292244486133309,0.1190394785241771,0.1200156839866329,0.11349151924118961,0.0803061110378286,0.0407987231940897,0.0,0.0,66.96,33.04,95.15,4.85
Arkansas,9.0,61.5,42.5,1.4,0.3,2.2,0.7,3.2,3013825,57.919684465,0.1272890761739649,0.13222167843189297,0.13542093519033122,0.12667092482144782,0.11978698165951909,0.12696755783763158,0.1157548961867395,0.0758783273746816,0.0400096223237912,0.83,23.66,36.43,39.08,62.72,37.28
California,8.5,63.4,37.2,2.2,0.3,1.2,0.3,1.8,39557045,253.9065023,0.12463524512510979,0.12875956735393151,0.147574622927471,0.14341220381856118,0.1281383379370224,0.1269736149401453,0.1040400768055348,0.060900150655844,0.0355661804363799,1.87,29.21,17.24,51.69,98.11,1.89
Colorado,8.1,70.5,32.0,1.3,0.4,1.1,0.4,1.9,5695564,54.955977559,0.120235151426619,0.12794904947078112,0.14615251448320138,0.1502174323736859,0.1286267698861781,0.12463489129434771,0.11085838031141429,0.060894408350077305,0.0304314024036952,35.54,44.99,15.25,4.23,89.18,10.82
Connecticut,5.6,71.8,34.4,1.5,0.1,2.0,0.0,2.0,3572665,737.74459965,0.1061238599196958,0.1286997241554973,0.13044575967799948,0.1232533696834156,0.1232794006714876,0.1481924557718117,0.12110231437876211,0.0729528237324238,0.045950292008906504,13.84,37.17,48.99,0.0,94.94,5.06
Delaware,6.0,72.1,37.1,1.6,0.0,2.1,0.0,2.2,967171,496.4324605,0.11482767783566711,0.1220228894373384,0.1295830830328866,0.1250378681742938,0.1148194062890637,0.1373614386701007,0.1306490786014055,0.0842508718727092,0.0414476860865348,0.0,81.43,18.57,0.0,100.0,0.0
District of Columbia,4.0,69.6,36.0,1.9,0.0,3.5,0.9,4.4,702455,11490.11954,0.021356431944926098,0.0167982516456246,0.0348983273843855,0.036741252583635906,0.0211024300032224,0.0188171822307424,0.015807130937744298,0.0091181565719282,0.0055880427174820006,0.0,0.0,100.0,0.0,100.0,0.0
Florida,13.5,61.9,36.9,4.1,0.4,1.3,0.9,2.6,21299325,397.01575445,0.1080207940861975,0.113274434753214,0.1270603645890186,0.1253729871721287,0.12216523293578549,0.13451585907065128,0.1246941393682663,0.0919845112462484,0.0529116767784895,4.46,16.99,55.28,23.27,96.65,3.35
