"state","state_local_government","non_profit","for_profit","total"
"Alaska",0.3,1.5,0.4,2.2
"Alabama",1.4,0.8,0.9,3.0999999999999996
"Arkansas",0.3,2.2,0.7,3.2
"Arizona",0.1,1.3,0.5,1.9
"California",0.3,1.2,0.3,1.7999999999999998
"Colorado",0.4,1.1,0.4,1.9000000000000001
"Connecticut",0.1,2.0,0.11973350445962233,2.2197335044596223
"District of Columbia",0.32002610473561155,3.5,0.9,4.720026104735611
"Delaware",0.11943932418662909,2.1,0.0,2.219439324186629
"Florida",0.4,1.3,0.9,2.6
"Georgia",0.3,1.8,0.3,2.4
"Hawaii",0.3,1.7,0.279728161901892,2.279728161901892
"Iowa",0.9,2.0,0.1,3.0
"Idaho",0.4,1.1,0.4,1.9000000000000001
"Illinois",0.1,2.2,0.2,2.5
"Indiana",0.4,1.9,0.4,2.7
"Kansas",1.1,1.4,0.8,3.3
"Kentucky",0.4,2.4,0.5,3.3
"Louisiana",0.8,1.7,0.8,3.3
"Massachusetts",0.0,1.8,0.4,2.2
"Maryland",0.15885271309443255,1.9,0.0,2.0588527130944323
"Maine",0.1,2.4,0.1,2.6
"Michigan",0.1,2.2,0.3,2.6
"Minnesota",0.3,2.2,0.22013113703069903,2.720131137030699
"Missouri",0.4,2.2,0.4,3.0
"Mississippi",1.6,1.6,0.8,4.0
"Montana",0.1,3.0,0.2,3.3
"North Carolina",0.6,1.3,0.1,2.0
"North Dakota",0.3167381672499153,4.2,0.1,4.616738167249915
"Nebraska",0.5,2.9,0.1,3.5
"New Hampshire",0.1601089758504244,1.7,0.3,2.1601089758504246
"New Jersey",0.12001701674456094,2.1,0.3,2.520017016744561
"New Mexico",0.3,0.7,0.7,1.7
"Nevada",0.2,0.7,1.3,2.2
"New York",0.5,2.2,0.3000419425545771,3.000041942554577
"Ohio",0.3,2.4,0.2,2.9
"Oklahoma",0.5,1.5,0.8,2.8
"Oregon",0.2,1.4,0.1,1.7
"Pennsylvania",0.0,2.5,0.3,2.8
"Rhode Island",0.15917457219430628,1.9,0.2,2.259174572194306
"South Carolina",0.6,1.1,0.7,2.4
"South Dakota",0.2,4.3,0.2,4.7
"Tennessee",0.5,1.6,0.8,2.9000000000000004
"Texas",0.3,1.0,1.0,2.3
"Utah",0.3,1.0,0.6,1.9
"Virginia",0.2,1.5,0.5,2.2
"Vermont",0.0995084542866875,2.1,0.11980697569757791,2.3193154299842655
"Washington",0.4,1.2,0.1,1.7
"Wisconsin",0.0,2.0,0.1,2.1
"West Virginia",0.4,2.8,0.7,3.9
"Wyoming",2.6,0.5,0.4,3.5
