state,population,pop_density
AL,4887871,96.50938865
AK,737438,1.2915230609
AZ,7171646,63.135855048
AR,3013825,57.919684465
CA,39557045,253.9065023
CO,5695564,54.955977559
CT,3572665,737.74459965
DE,967171,496.4324605
DC,702455,11490.11954
FL,21299325,397.01575445
GA,10519475,182.26478911
HI,1420491,221.17691552
ID,1754208,21.225798536
IL,12741080,229.51115613
IN,6691878,186.78751987
IA,3156145,56.507023549
KS,2911505,35.610732968
KY,4468402,113.15179107
LA,4659978,107.86011234
ME,1338404,43.391688419
MD,6042718,622.26172745
MA,6902149,884.74992172
MI,9995915,176.59707779
MN,5611179,70.469674696
MS,2986530,63.645625459
MO,6126452,89.117470789
MT,1062305,7.298751095
NE,1929268,25.114922059
NV,3034392,27.6406025
NH,1356458,151.50059716
NJ,8908520,1211.3172349
NM,2095428,17.273065483
NY,19542209,414.70249405
NC,10383620,213.56949153
ND,760077,11.015709613
OH,11689442,286.07988455
OK,3943079,57.482602245
OR,4190713,43.658853835
PA,12807060,286.23455445
RI,1057315,1022.6505771
SC,5084127,169.11117582
SD,882235,11.637449389
TN,6770010,164.17412699
TX,28701845,109.86046804
UT,3161105,38.458214685
VT,626299,67.943995144
VA,8517685,215.73630393
WA,7535591,113.39722716
WV,1805832,75.11398785
WI,5813568,107.32815663
WY,577737,5.9506106574
PR,3195153,367.57
