date,state,positive,totalTestResults,death,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease
2020-03-06,AK,0.0,8.0,0.0,0,0,1,0,0,0,0
2020-03-07,AK,0.0,12.0,0.0,0,0,2,4,0,0,0
2020-03-08,AK,0.0,14.0,0.0,0,0,6,2,0,0,0
2020-03-09,AK,0.0,23.0,0.0,0,0,9,9,0,0,1
2020-03-10,AK,0.0,23.0,0.0,0,0,9,0,0,0,0
2020-03-11,AK,0.0,46.0,0.0,0,0,14,23,0,0,0
2020-03-12,AK,0.0,46.0,0.0,0,0,14,0,0,0,0
2020-03-13,AK,0.0,60.0,0.0,0,0,0,14,0,0,0
2020-03-14,AK,0.0,144.0,0.0,0,0,0,84,0,0,0
2020-03-15,AK,0.0,144.0,0.0,0,0,0,0,0,0,0
2020-03-16,AK,0.0,144.0,0.0,0,0,0,0,0,0,0
2020-03-17,AK,3.0,337.0,0.0,3,0,3,193,3,0,0
2020-03-18,AK,8.0,412.0,0.0,5,0,8,75,8,0,0
2020-03-19,AK,11.0,438.0,0.0,3,0,11,26,11,0,0
2020-03-20,AK,14.0,698.0,0.0,3,0,14,260,14,0,0
2020-03-21,AK,15.0,772.0,0.0,1,0,15,74,15,0,0
2020-03-22,AK,25.0,968.0,0.0,10,0,25,196,25,0,0
2020-03-23,AK,38.0,968.0,0.0,13,0,38,0,38,0,0
2020-03-24,AK,42.0,1022.0,0.0,4,0,42,54,42,0,1
2020-03-25,AK,49.0,1691.0,1.0,7,0,49,669,49,1,1
2020-03-26,AK,63.0,1860.0,1.0,14,0,63,169,63,0,1
2020-03-27,AK,74.0,2388.0,1.0,11,0,87,528,74,0,2
2020-03-28,AK,91.0,2921.0,2.0,17,0,91,533,91,1,4
2020-03-29,AK,110.0,3334.0,2.0,19,0,110,413,110,0,0
2020-03-30,AK,118.0,3654.0,3.0,8,0,118,320,118,1,0
2020-03-31,AK,128.0,3713.0,3.0,10,0,128,59,128,0,2
2020-04-01,AK,141.0,4603.0,3.0,13,0,141,890,141,0,3
2020-04-02,AK,149.0,5022.0,3.0,8,0,149,419,149,0,1
2020-04-03,AK,160.0,6016.0,3.0,11,0,160,994,160,0,1
