State,Cluster_positiveIncrease,Cluster_hospitalizedIncrease,Cluster_deathIncrease
Alabama,17,10,12
Alaska,21,4,18
Arizona,14,10,12
Arkansas,17,3,10
California,15,2,13
Colorado,20,4,7
Connecticut,7,8,1
Delaware,19,1,3
District of Columbia,8,2,2
Florida,4,9,13
Georgia,4,3,12
Hawaii,10,16,16
Idaho,22,5,9
Illinois,20,1,6
Indiana,20,7,15
Iowa,11,6,17
Kansas,9,13,18
Kentucky,16,3,8
Louisiana,5,1,5
Maine,18,5,17
Maryland,19,5,6
Massachusetts,2,12,1
Michigan,1,1,7
Minnesota,11,5,9
Mississippi,17,13,10
Missouri,22,1,18
Montana,11,15,19
Nebraska,11,7,19
Nevada,17,2,12
New Hampshire,18,11,7
New Jersey,2,7,1
New Mexico,22,3,8
New York,2,1,2
North Carolina,14,1,8
North Dakota,12,15,19
Ohio,22,5,15
Oklahoma,16,3,8
Oregon,22,4,9
Pennsylvania,20,6,6
Rhode Island,19,12,4
South Carolina,14,9,12
South Dakota,12,15,19
Tennessee,16,3,8
Texas,6,2,11
Utah,21,4,9
Vermont,3,6,7
Virginia,19,5,14
Washington,1,7,3
West Virginia,22,1,8
Wisconsin,11,5,9
Wyoming,13,14,20
